,Close
0,144.9915008544922
1,144.39950561523438
2,137.77499389648438
3,137.74749755859375
4,137.01699829101562
5,138.66949462890625
6,139.73599243164062
7,141.4304962158203
8,138.58700561523438
9,139.48049926757812
10,135.9980010986328
11,135.1165008544922
12,133.3074951171875
13,130.35150146484375
14,130.8040008544922
15,126.93499755859376
16,129.23300170898438
17,129.0050048828125
18,133.3509979248047
19,135.30349731445312
20,137.6439971923828
21,148.0
22,143.08999633789062
23,143.29299926757812
24,139.2010040283203
25,139.3990020751953
26,141.5919952392578
27,138.6199951171875
28,134.28250122070312
29,135.5260009765625
30,136.60850524902344
31,137.73800659179688
32,132.53900146484375
33,130.4029998779297
34,129.81350708007812
35,127.58799743652344
36,132.6909942626953
37,134.45950317382812
38,135.0570068359375
39,134.06149291992188
40,134.57150268554688
41,133.89950561523438
42,131.906494140625
43,126.37850189208984
44,127.10449981689452
45,133.4199981689453
46,132.42950439453125
47,129.87049865722656
48,125.95099639892578
49,129.197998046875
50,133.28050231933594
51,133.83900451660156
52,136.12550354003906
53,136.10150146484375
54,139.8679962158203
55,138.27549743652344
56,141.57200622558594
57,141.67300415039062
58,141.45550537109375
59,142.5054931640625
60,141.93850708007812
61,139.0675048828125
62,140.15049743652344
63,142.97149658203125
64,140.59100341796875
65,136.54800415039062
66,135.8885040283203
67,133.28750610351562
68,128.82350158691406
69,127.7145004272461
70,129.8939971923828
71,126.7300033569336
72,127.67649841308594
73,130.00900268554688
74,128.0399932861328
75,124.8144989013672
76,119.635498046875
77,123.0739974975586
78,118.6500015258789
79,114.29450225830078
80,118.52249908447266
81,114.1094970703125
82,116.58300018310548
83,117.33399963378906
84,122.26100158691406
85,116.50550079345705
86,115.74649810791016
87,112.51100158691406
88,114.3949966430664
89,113.60250091552734
90,112.84400177001952
91,116.05049896240234
92,114.44499969482422
93,116.4729995727539
94,111.89949798583984
95,110.38400268554688
96,108.90799713134766
97,111.48799896240234
98,105.97000122070312
99,105.80500030517578
100,107.7925033569336
101,112.31649780273438
102,113.76200103759766
103,113.89199829101562
104,117.62249755859376
105,114.54100036621094
106,116.82050323486328
107,117.14949798583984
108,117.19400024414062
109,114.83550262451172
110,111.1614990234375
111,106.39250183105467
112,106.71549987792967
113,109.7645034790039
114,106.03350067138672
115,107.14350128173828
116,111.54399871826172
117,111.4875030517578
118,112.24199676513672
119,117.9749984741211
120,115.83350372314452
121,112.00749969482422
122,111.70149993896484
123,108.96299743652344
124,108.7375030517578
125,113.26300048828124
126,114.5719985961914
127,118.78299713134766
128,119.35350036621094
129,115.67649841308594
130,114.02050018310548
131,111.35350036621094
132,110.36750030517578
133,111.77749633789062
134,109.02999877929688
135,113.80999755859376
136,113.9000015258789
137,114.33999633789062
138,107.9000015258789
139,107.51000213623048
140,105.0199966430664
141,113.05999755859376
142,114.22000122070312
143,116.31999969482422
144,114.86000061035156
145,115.12999725341795
146,118.08000183105467
147,118.19000244140624
148,117.47000122070312
149,117.3000030517578
150,116.62999725341795
151,119.6999969482422
152,118.83999633789062
153,121.68000030517578
154,122.08000183105467
155,121.6999969482422
156,119.5500030517578
157,120.16999816894533
158,117.20999908447266
159,114.23999786376952
160,113.86000061035156
161,113.69000244140624
162,116.6500015258789
163,110.33999633789062
164,109.41999816894533
165,108.94000244140624
166,108.22000122070312
167,109.73999786376952
168,107.8499984741211
169,106.80999755859376
170,109.4499969482422
171,108.37999725341795
172,110.6500015258789
173,110.86000061035156
174,104.31999969482422
175,105.0
176,102.91000366210938
177,102.8000030517578
178,103.06999969482422
179,101.13999938964844
180,99.27999877929688
181,100.13999938964844
182,98.73999786376952
183,98.16999816894533
184,97.5
185,100.0500030517578
186,97.41999816894533
187,95.6500015258789
188,98.63999938964844
189,101.63999938964844
190,101.43000030517578
